
,,2018,"This is used to ensure the health standard off planting materials. The shoot-tips are cut from the apical shoots of a healthy chrysanthemum plants and inoculated in sterilized bottles containing the culture media. When shoots have developed into plantlets, these are taken out from the laboratory into the greenhouse for acclimatization and hardening, to increase rate of survival and reduce mortality before transplanting.",Abaca,Crops,Agriculture,Products
,,2013,"The formulation produced is a refinement to the existing goat semen extender intended for artificial insemination. Goat sperm cell is characterized as unique to the other livestock sperm cells, in terms of its reaction to the egg yolk. Semen diluents used in processing commonly contain egg yolk as a protection against cold and freezing related damages to the sperm cells. This utility model is comprise of buffer solution, non-penetrating cryoprotectant and penetrating cryoprotectant. The non-penetrating cryoprotectant is a plant based lecithin from soybean to avoid the interaction of the sperm cells and enzyme from the egg yolk. In this case, more sperm cells is ensured alive once introduced into the reproductive tract of the doe. The diluted semen is pack in semen straws and incubated at 5°C for four (4) hours. After the incubation period, the semen is slowly plunged into the liquid nitrogen tank. In the assessment of the post-thaw motility of the spermatozoa shows that it increase from 30% to 50%.",Goat,Livestock,Agriculture,Products
,,2016,"The semen extender formulation used in processing goat semen is composed of buffer solution, non-penetrating cryoprotectant and penetrating cryoprotectant. This formulation is used to ensure the viability of the sperm cells to be used in breeding using artificial insemination technique.",Goat,Livestock,Agriculture,Machinery
,,2011,"The present utility model relates to a deworming composition comprising betel nut (Areca catechu) seed, antibacterial agent, antifungal agent and dextrose powder. Preferably, the betel nut seed is mature and processed into powder form.",Jackfruit,Crops,Agriculture,Products
,,2014,"The present utility model relates to a deworming composition comprising betel nut (Areca catechu) seed, antibacterial agent, antifungal agent and dextrose powder. Preferably, the betel nut seed is mature and processed into powder form.","Native Chicken",Livestock,Agriculture,Products
,,2017,"NUTRIOTM is a biofertilizer that uses endophytic bacterial inoculants which promote nitrogen fixation and production of plant growth promoting hormones of eggplant and sugarcane. It is a foliar spray biofertilizer in powdered form suspended in water and is directly sprayed on growing crops. It is also a stand-alone product.",Vegetables,Crops,Agriculture,Machinery
,,2017,"An efficient rice harvesting implement that can be readily mounted to and dismounted  from the hand tractor unit thus, increasing the utilization of handtractor and helps reduce labor cost. It has an estimated capacity of 0.5 ha/day for an eight-hour operation.","Native Chicken",Livestock,Agriculture,Machinery
,,2015,"Carrageenan is an indigestible polysaccharide (carbohydrates) extracted from edible seaweeds.  Polysaccharide, when subjected to modified irradiation technology, can be an effective plant growth supplement. At a very small dose, this supplement makes an effective organic fertilizer.  It has been found to increase rice yield by 15-30%. The application of three and six bags of chemical fertilizer per ha, combined with 20 ml/L of carrageenan yields higher grain weight (450g and 455 g/10 hills, respectively) than the farmers' practice of applying nine bags of chemical fertilizer/ha.  Carrageenan enhances the crop vigor of rice. Productive tillers and panicle length (length of inflorescence) are significantly higher in Carrageenan-treated plants. Productive tillers are the rice stems that bear panicles (rice inflorescence) with fertilized grains, while longer rice panicle is associated with producing more grains.",Jackfruit,Crops,Agriculture,Machinery
,,2018,"A portable pellet mill developed mainly from scrap-materials that is appropriate for on-farm pellet production.  It is used in pelletizing total mixed ration (TMR) for goats.  It has a milling capacity of 130 kg/hr and machine efficiency of 93.30% with fuel consumption of 0.17 li/hr.",Jackfruit,Crops,Agriculture,"Commodity processing, its fractions & derivatives"
,,2003,"A peanut sheller with sorter machine to separate the peanut kernel from pods and sort the kernels into three sizes. It has a capacity of 150 kg/h with an overall shelling performance that is above the standard set by the PAES (Philippine Agricultural Engineering Standards).",Goat,Livestock,Agriculture,Products
